"final_design.1","final_design.2","final_design.3","final_design.4","final_design.5","final_design.6","final_design.7","final_design.8"
"703",369,811,56,478,135,826,576,833
"704",835,932,339,347,150,39,821,923
"705",791,296,370,224,440,857,750,184
"706",701,153,72,147,575,318,649,44
"707",850,482,884,476,877,300,822,732
"708",402,105,965,156,401,918,783,598
"709",987,172,518,91,519,567,820,660
"710",516,890,780,975,970,944,46,274
"711",756,937,523,658,109,67,215,965
"712",683,689,361,953,146,555,475,957
"713",289,354,189,893,979,174,30,72
"714",659,874,174,682,363,180,565,67
"715",901,573,161,841,741,638,726,210
"716",665,802,152,788,175,388,223,695
"717",749,126,157,615,90,206,780,909
"718",236,985,784,538,508,939,707,13
"719",538,491,272,752,463,645,331,609
"720",525,38,255,138,766,338,141,765
